age_in_months,variable,value,CI_95_lower,CI_95_upper,medically_attended,RSV_assoc,disease_type,metric_per_popul,period,region
3,number,17222,15014,19887,nonhospitalised,no,SARI,100000,2010-2018,Kenya
4,number,16826,14632,19300,nonhospitalised,no,SARI,100000,2010-2018,Kenya
5,number,18688,16368,21718,nonhospitalised,no,SARI,100000,2010-2018,Kenya
6,number,18700,16329,21509,nonhospitalised,no,SARI,100000,2010-2018,Kenya
7,number,14874,13063,17165,nonhospitalised,no,SARI,100000,2010-2018,Kenya
8,number,15223,13149,17555,nonhospitalised,no,SARI,100000,2010-2018,Kenya
9,number,14260,12467,16392,nonhospitalised,no,SARI,100000,2010-2018,Kenya
10,number,13440,11823,15437,nonhospitalised,no,SARI,100000,2010-2018,Kenya
11,number,10719,9373,12208,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<12,number,199772,174401,227481,nonhospitalised,no,SARI,100000,2010-2018,Kenya
12-14,number,25114,21814,28732,nonhospitalised,no,SARI,100000,2010-2018,Kenya
15-17,number,19046,16488,21898,nonhospitalised,no,SARI,100000,2010-2018,Kenya
18-20,number,18824,16449,21489,nonhospitalised,no,SARI,100000,2010-2018,Kenya
21-23,number,13667,11978,15517,nonhospitalised,no,SARI,100000,2010-2018,Kenya
12-23,number,77004,67782,88234,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<24,number,268577,234957,306802,nonhospitalised,no,SARI,100000,2010-2018,Kenya
24-35,number,46160,40491,53162,nonhospitalised,no,SARI,100000,2010-2018,Kenya
36-47,number,29311,25404,33598,nonhospitalised,no,SARI,100000,2010-2018,Kenya
48-59,number,16960,14744,19313,nonhospitalised,no,SARI,100000,2010-2018,Kenya
24-59 ,number,92916,80073,106806,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<60,number,368977,319899,423447,nonhospitalised,no,SARI,100000,2010-2018,Kenya
<1,number,5520,4715,6407,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
1,number,8058,6868,9461,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
2,number,6605,5638,7619,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
3,number,3775,3236,4441,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
4,number,3697,3132,4362,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
5,number,4122,3493,4865,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
6,number,2921,2446,3445,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
7,number,2340,1984,2767,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
8,number,2385,1991,2846,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
9,number,1709,1392,2070,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
10,number,1609,1328,1954,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
11,number,1280,1058,1527,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
<12,number,41366,35790,47548,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
12-14,number,2751,2238,3405,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
15-17,number,1888,1473,2376,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
18-20,number,2060,1616,2609,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
21-23,number,1210,901,1589,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
12-23,number,7969,6690,9390,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
<24,number,46454,40059,53468,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
24-35,number,3855,3169,4757,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
36-47,number,1810,1377,2323,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
48-59,number,405,236,621,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
24-59 ,number,5977,4932,7227,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
<60,number,53083,45990,61537,nonhospitalised,yes,SARI,100000,2010-2018,Kenya
