variable,price,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
total DALY (disc) averted (US$),80,ZAF,mAb,South Africa,8341,80$(mAb),"ZAF
$80
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),80,ZAF,mAb,South Africa,17430000,80$(mAb),"ZAF
$80
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),80,ZAF,mAb,South Africa,685,80$(mAb),"ZAF
$80
mAb",2808.4,2814.9,2685.8,2946.5,2437.9,3212
incremental cost (million US$),40,ZAF,MV,South Africa,11240000,40$(MV),"ZAF
$40
MV",20.8,20.8,20,21.6,18.4,22.9
incremental cost/DALY (disc) averted (US$),40,ZAF,MV,South Africa,1626,40$(MV),"ZAF
$40
MV",3002.4,3016.7,2805.4,3225.1,2408.4,3655.7
intervention cost (million US$),40,ZAF,MV,South Africa,2597000,40$(MV),"ZAF
$40
MV",34.7,34.7,34.7,34.7,34.7,34.7
total DALY averted (US$),40,ZAF,MV,South Africa,15060,40$(MV),"ZAF
$40
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),40,ZAF,MV,South Africa,6907,40$(MV),"ZAF
$40
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),40,ZAF,MV,South Africa,13830000,40$(MV),"ZAF
$40
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),40,ZAF,MV,South Africa,746,40$(MV),"ZAF
$40
MV",1376.7,1383.8,1285.6,1480.1,1102.2,1678.2
incremental cost (million US$),100,KEN,mAb,Kenya,463100,100$(mAb),"KEN
$100
mAb",88.7,88.7,88.5,88.8,88.3,89
incremental cost/DALY (disc) averted (US$),100,KEN,mAb,Kenya,36,100$(mAb),"KEN
$100
mAb",6968.6,6980.3,6693.6,7289,6160.8,7958.1
intervention cost (million US$),100,KEN,mAb,Kenya,5634000,100$(mAb),"KEN
$100
mAb",93.8,93.8,93.8,93.8,93.8,93.8
total DALY averted (US$),100,KEN,mAb,Kenya,28970,100$(mAb),"KEN
$100
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),100,KEN,mAb,Kenya,12700,100$(mAb),"KEN
$100
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),100,KEN,mAb,Kenya,5171000,100$(mAb),"KEN
$100
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),100,KEN,mAb,Kenya,16,100$(mAb),"KEN
$100
mAb",3055.2,3060.5,2932,3198.3,2694.3,3496.7
incremental cost (million US$),50,KEN,MV,Kenya,713200,50$(MV),"KEN
$50
MV",45.8,45.8,45.7,45.9,45.6,46.1
incremental cost/DALY (disc) averted (US$),50,KEN,MV,Kenya,71,50$(MV),"KEN
$50
MV",4583.7,4591.3,4373.7,4828.1,3980.8,5325.2
intervention cost (million US$),50,KEN,MV,Kenya,2882000,50$(MV),"KEN
$50
MV",48,48,48,48,48,48
total DALY averted (US$),50,KEN,MV,Kenya,22950,50$(MV),"KEN
$50
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),50,KEN,MV,Kenya,9982,50$(MV),"KEN
$50
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),50,KEN,MV,Kenya,2169000,50$(MV),"KEN
$50
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),50,KEN,MV,Kenya,31,50$(MV),"KEN
$50
MV",1993.7,1996.6,1901.9,2101.5,1728,2319
incremental cost (million US$),100,ZAF,mAb,South Africa,12330000,100$(mAb),"ZAF
$100
mAb",67.5,67.6,66.7,68.3,65,69.8
incremental cost/DALY (disc) averted (US$),100,ZAF,mAb,South Africa,1476,100$(mAb),"ZAF
$100
mAb",8086.4,8101.4,7769.2,8445.4,7126.1,9135.7
intervention cost (million US$),100,ZAF,mAb,South Africa,5103000,100$(mAb),"ZAF
$100
mAb",85,85,85,85,85,85
total DALY averted (US$),100,ZAF,mAb,South Africa,17960,100$(mAb),"ZAF
$100
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),100,ZAF,mAb,South Africa,8341,100$(mAb),"ZAF
$100
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),100,ZAF,mAb,South Africa,17430000,100$(mAb),"ZAF
$100
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),100,ZAF,mAb,South Africa,685,100$(mAb),"ZAF
$100
mAb",3753.6,3761.2,3603.9,3922.2,3301.5,4247
incremental cost (million US$),50,ZAF,MV,South Africa,11240000,50$(MV),"ZAF
$50
MV",29.4,29.5,28.7,30.2,27.1,31.6
incremental cost/DALY (disc) averted (US$),50,ZAF,MV,South Africa,1626,50$(MV),"ZAF
$50
MV",4255.5,4271.5,4020.1,4521.7,3543.6,5039.4
intervention cost (million US$),50,ZAF,MV,South Africa,2597000,50$(MV),"ZAF
$50
MV",43.3,43.3,43.3,43.3,43.3,43.3
total DALY averted (US$),50,ZAF,MV,South Africa,15060,50$(MV),"ZAF
$50
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),50,ZAF,MV,South Africa,6907,50$(MV),"ZAF
$50
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),50,ZAF,MV,South Africa,13830000,50$(MV),"ZAF
$50
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),50,ZAF,MV,South Africa,746,50$(MV),"ZAF
$50
MV",1951.3,1959.3,1842.3,2075.2,1621.8,2313.4
incremental cost (million US$),150,KEN,mAb,Kenya,463100,150$(mAb),"KEN
$150
mAb",135.6,135.6,135.5,135.7,135.2,135.9
incremental cost/DALY (disc) averted (US$),150,KEN,mAb,Kenya,36,150$(mAb),"KEN
$150
mAb",10656.5,10673.9,10240.4,11141.3,9434.1,12155
intervention cost (million US$),150,KEN,mAb,Kenya,5634000,150$(mAb),"KEN
$150
mAb",140.8,140.8,140.8,140.8,140.8,140.8
total DALY averted (US$),150,KEN,mAb,Kenya,28970,150$(mAb),"KEN
$150
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),150,KEN,mAb,Kenya,12700,150$(mAb),"KEN
$150
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),150,KEN,mAb,Kenya,5171000,150$(mAb),"KEN
$150
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),150,KEN,mAb,Kenya,16,150$(mAb),"KEN
$150
mAb",4672,4680,4485.5,4888.6,4125.8,5340.8
incremental cost (million US$),75,KEN,MV,Kenya,713200,75$(MV),"KEN
$75
MV",69.8,69.8,69.7,69.9,69.6,70.1
incremental cost/DALY (disc) averted (US$),75,KEN,MV,Kenya,71,75$(MV),"KEN
$75
MV",6984.1,6995.6,6668.6,7351.5,6077.3,8099.9
intervention cost (million US$),75,KEN,MV,Kenya,2882000,75$(MV),"KEN
$75
MV",72,72,72,72,72,72
total DALY averted (US$),75,KEN,MV,Kenya,22950,75$(MV),"KEN
$75
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),75,KEN,MV,Kenya,9982,75$(MV),"KEN
$75
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),75,KEN,MV,Kenya,2169000,75$(MV),"KEN
$75
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),75,KEN,MV,Kenya,31,75$(MV),"KEN
$75
MV",3037.8,3042.2,2899.8,3199.8,2638.1,3527.4
incremental cost (million US$),150,ZAF,mAb,South Africa,12330000,150$(mAb),"ZAF
$150
mAb",110,110.1,109.2,110.8,107.5,112.3
incremental cost/DALY (disc) averted (US$),150,ZAF,mAb,South Africa,1476,150$(mAb),"ZAF
$150
mAb",13177,13197.1,12717.4,13697.5,11786.2,14701.4
intervention cost (million US$),150,ZAF,mAb,South Africa,5103000,150$(mAb),"ZAF
$150
mAb",127.5,127.5,127.5,127.5,127.5,127.5
total DALY averted (US$),150,ZAF,mAb,South Africa,17960,150$(mAb),"ZAF
$150
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),150,ZAF,mAb,South Africa,8341,150$(mAb),"ZAF
$150
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),150,ZAF,mAb,South Africa,17430000,150$(mAb),"ZAF
$150
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),150,ZAF,mAb,South Africa,685,150$(mAb),"ZAF
$150
mAb",6116.6,6126.9,5899.2,6361.3,5460.5,6834.3
incremental cost (million US$),75,ZAF,MV,South Africa,11240000,75$(MV),"ZAF
$75
MV",51.1,51.2,50.4,51.9,48.7,53.2
incremental cost/DALY (disc) averted (US$),75,ZAF,MV,South Africa,1626,75$(MV),"ZAF
$75
MV",7388,7408.4,7056.8,7763.3,6381.6,8498.8
intervention cost (million US$),75,ZAF,MV,South Africa,2597000,75$(MV),"ZAF
$75
MV",65,65,65,65,65,65
total DALY averted (US$),75,ZAF,MV,South Africa,15060,75$(MV),"ZAF
$75
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),75,ZAF,MV,South Africa,6907,75$(MV),"ZAF
$75
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),75,ZAF,MV,South Africa,13830000,75$(MV),"ZAF
$75
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),75,ZAF,MV,South Africa,746,75$(MV),"ZAF
$75
MV",3387.7,3398.2,3233.9,3562.9,2920.6,3901.4
incremental cost (million US$),75,KEN,mAb,Kenya,463100,75$(mAb),"KEN
$75
mAb",65.2,65.2,65.1,65.3,64.8,65.5
incremental cost/DALY (disc) averted (US$),75,KEN,mAb,Kenya,36,75$(mAb),"KEN
$75
mAb",5124.7,5133.4,4920.2,5362.9,4524.1,5859.7
intervention cost (million US$),75,KEN,mAb,Kenya,5634000,75$(mAb),"KEN
$75
mAb",70.4,70.4,70.4,70.4,70.4,70.4
total DALY averted (US$),75,KEN,mAb,Kenya,28970,75$(mAb),"KEN
$75
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),75,KEN,mAb,Kenya,12700,75$(mAb),"KEN
$75
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),75,KEN,mAb,Kenya,5171000,75$(mAb),"KEN
$75
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),75,KEN,mAb,Kenya,16,75$(mAb),"KEN
$75
mAb",2246.8,2250.8,2155.2,2353.1,1978.5,2574.7
incremental cost (million US$),37.5,KEN,MV,Kenya,713200,37.5$(MV),"KEN
$37.5
MV",33.8,33.8,33.7,33.9,33.6,34.1
incremental cost/DALY (disc) averted (US$),37.5,KEN,MV,Kenya,71,37.5$(MV),"KEN
$37.5
MV",3383.5,3389.1,3226.2,3566.4,2932.5,3937.8
intervention cost (million US$),37.5,KEN,MV,Kenya,2882000,37.5$(MV),"KEN
$37.5
MV",36,36,36,36,36,36
total DALY averted (US$),37.5,KEN,MV,Kenya,22950,37.5$(MV),"KEN
$37.5
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),37.5,KEN,MV,Kenya,9982,37.5$(MV),"KEN
$37.5
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),37.5,KEN,MV,Kenya,2169000,37.5$(MV),"KEN
$37.5
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),37.5,KEN,MV,Kenya,31,37.5$(MV),"KEN
$37.5
MV",1471.7,1473.8,1402.9,1552.3,1273,1714.9
incremental cost (million US$),75,ZAF,mAb,South Africa,12330000,75$(mAb),"ZAF
$75
mAb",46.3,46.3,45.5,47.1,43.7,48.5
incremental cost/DALY (disc) averted (US$),75,ZAF,mAb,South Africa,1476,75$(mAb),"ZAF
$75
mAb",5541,5553.6,5295.1,5819.3,4796,6352.8
intervention cost (million US$),75,ZAF,mAb,South Africa,5103000,75$(mAb),"ZAF
$75
mAb",63.7,63.7,63.7,63.7,63.7,63.7
total DALY averted (US$),75,ZAF,mAb,South Africa,17960,75$(mAb),"ZAF
$75
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),75,ZAF,mAb,South Africa,8341,75$(mAb),"ZAF
$75
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),75,ZAF,mAb,South Africa,17430000,75$(mAb),"ZAF
$75
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),75,ZAF,mAb,South Africa,685,75$(mAb),"ZAF
$75
mAb",2572.1,2578.3,2456.3,2702.6,2222,2953.3
incremental cost (million US$),37.5,ZAF,MV,South Africa,11240000,37.5$(MV),"ZAF
$37.5
MV",18.6,18.7,17.9,19.4,16.2,20.7
incremental cost/DALY (disc) averted (US$),37.5,ZAF,MV,South Africa,1626,37.5$(MV),"ZAF
$37.5
MV",2689.2,2703.1,2501.8,2901,2124.6,3309.8
intervention cost (million US$),37.5,ZAF,MV,South Africa,2597000,37.5$(MV),"ZAF
$37.5
MV",32.5,32.5,32.5,32.5,32.5,32.5
total DALY averted (US$),37.5,ZAF,MV,South Africa,15060,37.5$(MV),"ZAF
$37.5
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),37.5,ZAF,MV,South Africa,6907,37.5$(MV),"ZAF
$37.5
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),37.5,ZAF,MV,South Africa,13830000,37.5$(MV),"ZAF
$37.5
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),37.5,ZAF,MV,South Africa,746,37.5$(MV),"ZAF
$37.5
MV",1233.1,1239.9,1146.5,1331.4,972.3,1519.4
incremental cost (million US$),200,KEN,mAb,Kenya,463100,200$(mAb),"KEN
$200
mAb",182.5,182.5,182.4,182.6,182.1,182.8
incremental cost/DALY (disc) averted (US$),200,KEN,mAb,Kenya,36,200$(mAb),"KEN
$200
mAb",14344.5,14367.6,13787.2,14993.6,12707.4,16351.9
intervention cost (million US$),200,KEN,mAb,Kenya,5634000,200$(mAb),"KEN
$200
mAb",187.7,187.7,187.7,187.7,187.7,187.7
total DALY averted (US$),200,KEN,mAb,Kenya,28970,200$(mAb),"KEN
$200
mAb",29017.4,28970,27756.5,30199.2,25442,32774
total DALY (disc) averted (US$),200,KEN,mAb,Kenya,12700,200$(mAb),"KEN
$200
mAb",12721.8,12702,12179,13228,11178.9,14333.1
total medical cost averted (million US$),200,KEN,mAb,Kenya,5171000,200$(mAb),"KEN
$200
mAb",5.2,5.2,5.1,5.3,4.9,5.5
incremental cost/DALY averted (US$),200,KEN,mAb,Kenya,16,200$(mAb),"KEN
$200
mAb",6288.9,6299.5,6039.1,6578.9,5557.3,7184.9
incremental cost (million US$),100,KEN,MV,Kenya,713200,100$(MV),"KEN
$100
MV",93.8,93.8,93.7,93.9,93.6,94.1
incremental cost/DALY (disc) averted (US$),100,KEN,MV,Kenya,71,100$(MV),"KEN
$100
MV",9384.4,9399.9,8963.5,9874.9,8173.8,10874.6
intervention cost (million US$),100,KEN,MV,Kenya,2882000,100$(MV),"KEN
$100
MV",96,96,96,96,96,96
total DALY averted (US$),100,KEN,MV,Kenya,22950,100$(MV),"KEN
$100
MV",22987.3,22954,21851.5,24050,19861.8,26371.5
total DALY (disc) averted (US$),100,KEN,MV,Kenya,9982,100$(MV),"KEN
$100
MV",9998.5,9982,9511,10458,8649.5,11447.5
total medical cost averted (million US$),100,KEN,MV,Kenya,2169000,100$(MV),"KEN
$100
MV",2.2,2.2,2.1,2.3,1.9,2.4
incremental cost/DALY averted (US$),100,KEN,MV,Kenya,31,100$(MV),"KEN
$100
MV",4081.8,4087.7,3897.7,4298.1,3548.1,4735.7
incremental cost (million US$),200,ZAF,mAb,South Africa,12330000,200$(mAb),"ZAF
$200
mAb",152.5,152.6,151.7,153.3,150,154.8
incremental cost/DALY (disc) averted (US$),200,ZAF,mAb,South Africa,1476,200$(mAb),"ZAF
$200
mAb",18267.7,18292.7,17665.6,18949.6,16446.2,20267.2
intervention cost (million US$),200,ZAF,mAb,South Africa,5103000,200$(mAb),"ZAF
$200
mAb",170,170,170,170,170,170
total DALY averted (US$),200,ZAF,mAb,South Africa,17960,200$(mAb),"ZAF
$200
mAb",17985.6,17965,17424,18516,16425.9,19685
total DALY (disc) averted (US$),200,ZAF,mAb,South Africa,8341,200$(mAb),"ZAF
$200
mAb",8348.6,8340.5,8092,8589,7636,9120
total medical cost averted (million US$),200,ZAF,mAb,South Africa,17430000,200$(mAb),"ZAF
$200
mAb",17.5,17.4,16.7,18.3,15.2,20
incremental cost/DALY averted (US$),200,ZAF,mAb,South Africa,685,200$(mAb),"ZAF
$200
mAb",8479.6,8492.6,8194.5,8800.5,7619.5,9421.7
incremental cost (million US$),100,ZAF,MV,South Africa,11240000,100$(MV),"ZAF
$100
MV",72.8,72.8,72,73.6,70.4,74.9
incremental cost/DALY (disc) averted (US$),100,ZAF,MV,South Africa,1626,100$(MV),"ZAF
$100
MV",10520.6,10545.3,10093.4,11004.9,9219.6,11958.1
intervention cost (million US$),100,ZAF,MV,South Africa,2597000,100$(MV),"ZAF
$100
MV",86.7,86.7,86.7,86.7,86.7,86.7
total DALY averted (US$),100,ZAF,MV,South Africa,15060,100$(MV),"ZAF
$100
MV",15084,15058,14564,15569.5,13643.8,16681.5
total DALY (disc) averted (US$),100,ZAF,MV,South Africa,6907,100$(MV),"ZAF
$100
MV",6916.6,6907,6684,7135,6263.2,7634.5
total medical cost averted (million US$),100,ZAF,MV,South Africa,13830000,100$(MV),"ZAF
$100
MV",13.9,13.8,13.1,14.7,11.8,16.3
incremental cost/DALY averted (US$),100,ZAF,MV,South Africa,746,100$(MV),"ZAF
$100
MV",4824.1,4837.1,4625.5,5050.6,4219.4,5489.4
