variable,source,meanvals,medianval,stdevvals,min_q,max_q,country,age_distrib,intervention
cost_rsv_hosp_0to1y,own,80749.5,59633,70976.9,14496.5,165419.9,DJI,KEN,monocl_Ab
hosp_cases,mcmarcel,470.9,392.5,312,133,869.2,DJI,KEN,monocl_Ab
hosp_cases,own,479.6,400,317.6,136,885,DJI,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,40.1,32,29.2,10,77,DJI,KEN,monocl_Ab
hosp_cases_averted,own,148,123,98,42,273,DJI,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,89641.3,93273,15038.9,60876.6,104035.7,DJI,KEN,monocl_Ab
incremental_cost_0to1y,own,30307.5,41787.5,50039.3,-67460.1,81062.3,DJI,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2067.4,1492.7,1975.6,352.1,4242.2,DJI,KEN,monocl_Ab
net_cost/DALY_averted,own,186.6,127,362,-184.4,562.5,DJI,KEN,monocl_Ab
rsv_cases,mcmarcel,5352.1,5352,1.2,5350,5353,DJI,KEN,monocl_Ab
rsv_cases,own,5450.1,5450,14,5426,5467,DJI,KEN,monocl_Ab
rsv_deaths,mcmarcel,10.4,8,7.8,2,20,DJI,KEN,monocl_Ab
rsv_deaths,own,14.4,11,10.9,3,28,DJI,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,1.2,1,1.1,0,2,DJI,KEN,monocl_Ab
rsv_deaths_averted,own,5.7,4,4.5,1,11,DJI,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,301.1,236,234.5,71,581.1,DJI,KEN,monocl_Ab
total_DALY_0to1y,own,734.5,583,562.7,178,1440.1,DJI,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,79.2,60,65.4,18,155,DJI,KEN,monocl_Ab
total_DALY_0to1y_averted,own,359.1,283,282.1,84,709,DJI,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,94826.6,80689,61191.4,26375,171831.3,DJI,KEN,monocl_Ab
total_medical_cost_0to1y,own,185017.3,158898.5,113848,54850.9,334916.2,DJI,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,21986.2,18355,15038.9,5749.6,40679.3,DJI,KEN,monocl_Ab
total_medical_cost_averted,own,81320.1,69840,50039.3,24108.5,147204.7,DJI,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,42261.2,30166.5,40321.8,7060.8,87381.7,ERI,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,81884.7,59384.5,75632.4,14325.8,167311.9,ERI,KEN,monocl_Ab
hosp_cases,mcmarcel,3712.8,3095.5,2459.5,1049,6857.6,ERI,KEN,monocl_Ab
hosp_cases,own,3746.6,3126.5,2481.8,1060,6922.3,ERI,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,335.9,269,244.8,84,645.1,ERI,KEN,monocl_Ab
hosp_cases_averted,own,1234.7,1030,817.9,349,2281.4,ERI,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,886891.1,891337.5,18412.2,851341.3,905062.8,ERI,KEN,monocl_Ab
incremental_cost_0to1y,own,798893.1,812129.5,59253.8,685312.3,859113,ERI,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2248.8,1679.7,1996.8,486.6,4457.2,ERI,KEN,monocl_Ab
net_cost/DALY_averted,own,431.6,325.4,360.4,95.9,859.2,ERI,KEN,monocl_Ab
rsv_cases,mcmarcel,42194.5,42195,16.1,42167,42214,ERI,KEN,monocl_Ab
rsv_cases,own,42579,42581,62.5,42472,42655,ERI,KEN,monocl_Ab
rsv_deaths,mcmarcel,81.7,65,61.7,19,159,ERI,KEN,monocl_Ab
rsv_deaths,own,112,89,84.7,27,219,ERI,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,10.4,8,8.7,2,20,ERI,KEN,monocl_Ab
rsv_deaths_averted,own,47.5,37,37.6,11,94,ERI,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,2453,1919,1912.4,580,4741,ERI,KEN,monocl_Ab
total_DALY_0to1y,own,5982.6,4750,4585.3,1446.8,11741,ERI,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,695.6,530,574.4,154,1356.2,ERI,KEN,monocl_Ab
total_DALY_0to1y_averted,own,3152,2481,2478,738,6228.6,ERI,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,131886.7,116827,68489.9,52355.8,220544.8,ERI,KEN,monocl_Ab
total_medical_cost_0to1y,own,255889.8,227852.5,125511.3,108739.9,415137.2,ERI,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,32807.3,28361,18412.2,12115.9,56668.3,ERI,KEN,monocl_Ab
total_medical_cost_averted,own,120805.3,107569,59253.8,51336.4,195986,ERI,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,1725451.1,1257513,1596006.7,291471.2,3578727.7,ETH,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,3341230.4,2464223,2984337.5,606405.9,6870565.6,ETH,KEN,monocl_Ab
hosp_cases,mcmarcel,75435.5,62896,49970.4,21314.7,139335.5,ETH,KEN,monocl_Ab
hosp_cases,own,76263.1,63612,50515.5,21571.5,140868.2,ETH,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,6491.8,5204.5,4731.2,1622,12454.3,ETH,KEN,monocl_Ab
hosp_cases_averted,own,23877.3,19916.5,15816,6753.8,44104.4,ETH,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,16871415.4,17024182.5,590502.8,15732992.9,17423160,ETH,KEN,monocl_Ab
incremental_cost_0to1y,own,14658262.7,15140516,1964775.7,10897149.9,16563848.8,ETH,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2205.6,1643.4,1968.9,465.1,4396.1,ETH,KEN,monocl_Ab
net_cost/DALY_averted,own,413.1,306.8,356.4,81.1,838.6,ETH,KEN,monocl_Ab
rsv_cases,mcmarcel,857293.1,857304,351.1,856699.9,857725.1,ETH,KEN,monocl_Ab
rsv_cases,own,866707.7,866753.5,1577.1,864045.9,868651.2,ETH,KEN,monocl_Ab
rsv_deaths,mcmarcel,1661.5,1328,1254.8,392,3235,ETH,KEN,monocl_Ab
rsv_deaths,own,2280.2,1820.5,1726.3,545,4456.2,ETH,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,201.7,153,168,43,395.1,ETH,KEN,monocl_Ab
rsv_deaths_averted,own,917.8,721,727.3,210,1822.1,ETH,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,50382.8,39413.5,39274.9,11910.5,97353.8,ETH,KEN,monocl_Ab
total_DALY_0to1y,own,122883.6,97539,94187.8,29706.5,241120.4,ETH,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,13550.5,10315,11188.3,2991,26427.9,ETH,KEN,monocl_Ab
total_DALY_0to1y_averted,own,61405.8,48357,48277.3,14387.6,121314.6,ETH,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,3503169.6,2920113,2362004.5,967621.2,6535069.2,ETH,KEN,monocl_Ab
total_medical_cost_0to1y,own,6788241,5711752,4385786.1,1988274.4,12275263.5,ETH,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,827891.8,675125,590502.7,213069.2,1564669,ETH,KEN,monocl_Ab
total_medical_cost_averted,own,3041044.5,2558791,1964775.7,890721.7,5499160.4,ETH,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,68706.7,49475,64028.5,11815.7,143939.8,GMB,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,133477.1,97654.5,119047.4,23812.5,279774.7,GMB,KEN,monocl_Ab
hosp_cases,mcmarcel,1853,1544.5,1227.5,524,3421.5,GMB,KEN,monocl_Ab
hosp_cases,own,1882.7,1570.5,1247.1,532,3476.1,GMB,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,171.3,137,124.8,43,329,GMB,KEN,monocl_Ab
hosp_cases_averted,own,631.2,526.5,418.1,178,1165.1,GMB,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,415145.6,424871,38526.4,342449.5,450106.2,GMB,KEN,monocl_Ab
incremental_cost_0to1y,own,275482,306093,130436.3,37183.9,397721.6,GMB,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2236.1,1655.8,2038.1,457.9,4514.6,GMB,KEN,monocl_Ab
net_cost/DALY_averted,own,326.7,236.5,347.7,17.8,717.8,GMB,KEN,monocl_Ab
rsv_cases,mcmarcel,21058.5,21059,4.1,21052,21064,GMB,KEN,monocl_Ab
rsv_cases,own,21396.9,21398,48.7,21315,21457,GMB,KEN,monocl_Ab
rsv_deaths,mcmarcel,40.8,33,30.8,10,79.1,GMB,KEN,monocl_Ab
rsv_deaths,own,56.4,45,42.7,13,110,GMB,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,5.3,4,4.4,1,10,GMB,KEN,monocl_Ab
rsv_deaths_averted,own,24.3,19,19.2,6,48,GMB,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,1155.8,904.5,900.1,274,2232.1,GMB,KEN,monocl_Ab
total_DALY_0to1y,own,2819.6,2237,2159.7,683,5530.1,GMB,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,331.2,252,273.2,73,646.1,GMB,KEN,monocl_Ab
total_DALY_0to1y_averted,own,1501,1182.5,1179.3,353,2964.1,GMB,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,205853,169376,144746.9,55424.9,381900.2,GMB,KEN,monocl_Ab
total_medical_cost_0to1y,own,400762,336743,272789.3,112824.9,733383.8,GMB,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,51963.9,42238.5,38526.4,13022.9,97073,GMB,KEN,monocl_Ab
total_medical_cost_averted,own,191627.5,161016.5,130436.3,53947.8,350673.2,GMB,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,700292.2,493357,675329,108378.7,1461674.1,GHA,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,1358365.4,970759,1267534.7,225585.8,2800874.2,GHA,KEN,monocl_Ab
hosp_cases,mcmarcel,18279.2,15239,12108.7,5164.9,33752.4,GHA,KEN,monocl_Ab
hosp_cases,own,18527.2,15453,12272,5239.9,34218,GHA,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,1614.2,1294,1176.3,403,3096.8,GHA,KEN,monocl_Ab
hosp_cases_averted,own,5943.1,4957,3936.6,1681,10976,GHA,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,4463814.6,4541238.5,288091.7,3916377.4,4725778.1,GHA,KEN,monocl_Ab
incremental_cost_0to1y,own,3438224.6,3680496,960679.9,1583321.1,4362670.6,GHA,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2478.9,1837.3,2241.6,510.3,4952.8,GHA,KEN,monocl_Ab
net_cost/DALY_averted,own,418.8,304.3,389.5,59.8,893.1,GHA,KEN,monocl_Ab
rsv_cases,mcmarcel,207735.3,207737,51.6,207648,207799,GHA,KEN,monocl_Ab
rsv_cases,own,210556.1,210568,417.6,209851,211071,GHA,KEN,monocl_Ab
rsv_deaths,mcmarcel,402.8,322,304.2,95,784,GHA,KEN,monocl_Ab
rsv_deaths,own,554.5,442,419.8,133,1085,GHA,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,50.2,38,41.8,11,98,GHA,KEN,monocl_Ab
rsv_deaths_averted,own,228.5,179.5,181.1,52,454,GHA,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,11672.6,9133.5,9093.9,2763.9,22547.9,GHA,KEN,monocl_Ab
total_DALY_0to1y,own,28472,22598,21813.8,6891.5,55850.3,GHA,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,3207.9,2442.5,2647.3,709,6255.5,GHA,KEN,monocl_Ab
total_DALY_0to1y_averted,own,14537.5,11450,11424.8,3410.8,28711.4,GHA,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,1583892.1,1287383.5,1129913.5,399740.5,2959847.8,GHA,KEN,monocl_Ab
total_medical_cost_0to1y,own,3074249,2545528.5,2096541.5,833950.2,5672094.7,GHA,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,383096.4,305672.5,288091.7,89003.2,730964.5,GHA,KEN,monocl_Ab
total_medical_cost_averted,own,1408686.3,1166415,960679.9,382134.2,2599074.7,GHA,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,367676.4,234516,427391,49466.6,815994.7,GIN,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,713619.7,462127,814722.3,98726.4,1579242.7,GIN,KEN,monocl_Ab
hosp_cases,mcmarcel,10398.2,8671,6888,2937.9,19214.4,GIN,KEN,monocl_Ab
hosp_cases,own,10563.7,8808,6997,2987.9,19501.2,GIN,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,843.3,676,614.2,211,1619.1,GIN,KEN,monocl_Ab
hosp_cases_averted,own,3107.4,2591,2058.2,879,5736.1,GIN,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,2165303.2,2195658.5,97510.9,1991987.7,2233612.8,GIN,KEN,monocl_Ab
incremental_cost_0to1y,own,1923531.3,2026605.5,341460.3,1323898.6,2164306.2,GIN,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2316,1722.2,2073.2,481.1,4626.3,GIN,KEN,monocl_Ab
net_cost/DALY_averted,own,450.7,332.4,396.4,76.9,930.6,GIN,KEN,monocl_Ab
rsv_cases,mcmarcel,118171.7,118174,72.6,118050,118261,GIN,KEN,monocl_Ab
rsv_cases,own,120054.5,120064,324.4,119509.9,120454,GIN,KEN,monocl_Ab
rsv_deaths,mcmarcel,229.3,183,173.1,54,446,GIN,KEN,monocl_Ab
rsv_deaths,own,316.4,252.5,239.6,76,618.1,GIN,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,26.2,20,21.8,6,51,GIN,KEN,monocl_Ab
rsv_deaths_averted,own,119.5,94,94.7,27,237,GIN,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,6605.6,5170.5,5144.1,1565.9,12751.8,GIN,KEN,monocl_Ab
total_DALY_0to1y,own,16114.7,12787,12344.8,3899,31603.8,GIN,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,1660.9,1264,1369.8,368,3241.3,GIN,KEN,monocl_Ab
total_DALY_0to1y_averted,own,7527.8,5929,5915.3,1766.9,14867.1,GIN,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,407827.8,277209,427995.8,81515.4,858846.6,GIN,KEN,monocl_Ab
total_medical_cost_0to1y,own,791642.8,545965,813870.7,164660.8,1646502.2,GIN,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,90362.6,60007.5,97510.9,17076.7,189479.7,GIN,KEN,monocl_Ab
total_medical_cost_averted,own,332134.5,229060,341460.3,69083.7,690791.9,GIN,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,39432.3,28762.5,35829.3,7298.7,79861.1,GNB,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,76999.9,57141.5,67408.9,14573.5,155003.5,GNB,KEN,monocl_Ab
hosp_cases,mcmarcel,1397.7,1165.5,925.9,395,2582.1,GNB,KEN,monocl_Ab
hosp_cases,own,1433.2,1194.5,949.2,406,2647.2,GNB,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,111.1,89,80.9,28,213,GNB,KEN,monocl_Ab
hosp_cases_averted,own,410.7,342,272,116,759,GNB,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,283118.6,288012,18466.3,248914.1,299627.4,GNB,KEN,monocl_Ab
incremental_cost_0to1y,own,218191.3,232896.5,63701.9,103103.2,277022.7,GNB,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2404.4,1789.1,2161.8,492.3,4779.6,GNB,KEN,monocl_Ab
net_cost/DALY_averted,own,402.9,292.4,378.6,59.8,848.6,GNB,KEN,monocl_Ab
rsv_cases,mcmarcel,15884.5,15885,8.5,15870,15895,GNB,KEN,monocl_Ab
rsv_cases,own,16288.1,16290,64.4,16180,16368,GNB,KEN,monocl_Ab
rsv_deaths,mcmarcel,30.9,25,23.3,7,60,GNB,KEN,monocl_Ab
rsv_deaths,own,43.1,34,32.6,10,84,GNB,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,3.5,3,2.9,1,7,GNB,KEN,monocl_Ab
rsv_deaths_averted,own,15.8,12,12.5,4,31,GNB,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,859.8,674,668.9,204,1658.1,GNB,KEN,monocl_Ab
total_DALY_0to1y,own,2098.1,1664.5,1606.4,509,4111.8,GNB,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,208.7,159,171.9,46,407,GNB,KEN,monocl_Ab
total_DALY_0to1y_averted,own,945.9,744.5,742.9,222,1869,GNB,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,111648.1,90559,82419.1,28348,208769.2,GNB,KEN,monocl_Ab
total_medical_cost_0to1y,own,218791,182595.5,156793.5,57339.5,402082.7,GNB,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,23962.9,19069.5,18466.2,5762.6,45549.6,GNB,KEN,monocl_Ab
total_medical_cost_averted,own,88890.2,74184.5,63701.9,23296.2,163358.3,GNB,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,2146312,1703215.5,1598658.6,545825.6,4105218.7,KEN,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,4157347.6,3357052,2956287.5,1108941.9,7872445.2,KEN,KEN,monocl_Ab
hosp_cases,mcmarcel,33249.4,27719,22025.5,9393.9,61387,KEN,KEN,monocl_Ab
hosp_cases,own,33626.7,28055.5,22274.1,9510.8,62125.5,KEN,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,2676.7,2146,1951.1,669,5138.1,KEN,KEN,monocl_Ab
hosp_cases_averted,own,9847.8,8216.5,6523.1,2784.9,18194.1,KEN,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,6751914.2,6933465,761549.8,5320104,7470013.3,KEN,KEN,monocl_Ab
incremental_cost_0to1y,own,3769131.9,4331876.5,2518404.3,-874301.8,6230358,KEN,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2172.3,1588.5,2027.7,409.6,4365.1,KEN,KEN,monocl_Ab
net_cost/DALY_averted,own,283.9,195.8,347.3,-24.3,674.5,KEN,KEN,monocl_Ab
rsv_cases,mcmarcel,377864.6,377867,70.2,377747,377951,KEN,KEN,monocl_Ab
rsv_cases,own,382156.3,382177,600.6,381136,382894.1,KEN,KEN,monocl_Ab
rsv_deaths,mcmarcel,732.4,585,553.1,173,1426,KEN,KEN,monocl_Ab
rsv_deaths,own,1005.6,803,761.3,240,1965.1,KEN,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,83.2,63,69.3,18,163,KEN,KEN,monocl_Ab
rsv_deaths_averted,own,378.6,297,300,86,752,KEN,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,22365.8,17494.5,17438.2,5284.9,43226.3,KEN,KEN,monocl_Ab
total_DALY_0to1y,own,54547.1,43305,41812.1,13186.6,107048.4,KEN,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,5623.1,4281,4643.8,1241,10963.3,KEN,KEN,monocl_Ab
total_DALY_0to1y_averted,own,25479.8,20060,20033.4,5967.9,50347.9,KEN,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,5039690,4283552,3237721.2,1506229.2,9093912.5,KEN,KEN,monocl_Ab
total_medical_cost_0to1y,own,9777481.3,8434194.5,6011504.2,3087671.8,17009605.6,KEN,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,1113305.8,931755,761549.8,313683.2,2056650.3,KEN,KEN,monocl_Ab
total_medical_cost_averted,own,4096088.2,3533344,2518404.3,1293520.5,7125847.9,KEN,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,55866.9,40787,50766.3,10359.9,115309.3,LSO,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,108568,79730.5,94835.8,20877.3,222501.4,LSO,KEN,monocl_Ab
hosp_cases,mcmarcel,1390.9,1159.5,921.4,393,2569.2,LSO,KEN,monocl_Ab
hosp_cases,own,1411.4,1177,934.9,399,2606.1,LSO,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,89,71,64.9,22,171,LSO,KEN,monocl_Ab
hosp_cases_averted,own,328.1,273.5,217.3,93,606,LSO,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,213168.9,219121.5,22600.1,171357,233306.1,LSO,KEN,monocl_Ab
incremental_cost_0to1y,own,131618.4,151040.5,77762.3,-11684.5,203890,LSO,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2465.9,1824.3,2246,481.1,4987.2,LSO,KEN,monocl_Ab
net_cost/DALY_averted,own,336.7,245.1,379.4,-14.2,780.8,LSO,KEN,monocl_Ab
rsv_cases,mcmarcel,15806.7,15807,6.7,15795,15815,LSO,KEN,monocl_Ab
rsv_cases,own,16039.7,16041,34.8,15980,16082,LSO,KEN,monocl_Ab
rsv_deaths,mcmarcel,30.7,25,23.1,7,60,LSO,KEN,monocl_Ab
rsv_deaths,own,42.3,34,32,10,83,LSO,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,2.8,2,2.3,1,5,LSO,KEN,monocl_Ab
rsv_deaths_averted,own,12.6,10,10,3,25,LSO,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,774.4,606,602.3,184,1495.1,LSO,KEN,monocl_Ab
total_DALY_0to1y,own,1889.5,1499.5,1445.7,459,3704,LSO,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,154,117,126.9,34,300.1,LSO,KEN,monocl_Ab
total_DALY_0to1y_averted,own,698,550,547.9,164,1377.1,LSO,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,172622,141684.5,124179.1,46598,322656,LSO,KEN,monocl_Ab
total_medical_cost_0to1y,own,336699.6,278160,234379.3,94293.3,617811.8,LSO,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,30159.7,24207,22600.1,7664.9,57482.1,LSO,KEN,monocl_Ab
total_medical_cost_averted,own,111710.1,92288,77762.3,31285.1,204977.6,LSO,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,468.5,327.5,458.4,76,992,LBR,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,911.4,647.5,871.8,152,1928.1,LBR,KEN,monocl_Ab
hosp_cases,mcmarcel,3477.7,2900,2303.7,983,6424.4,LBR,KEN,monocl_Ab
hosp_cases,own,3524.9,2940.5,2334.8,997,6509.4,LBR,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,316.9,254,230.9,79,608.1,LBR,KEN,monocl_Ab
hosp_cases_averted,own,1167.1,973.5,773,330,2155.1,LBR,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,915105.1,915263,531.6,914112,915518,LBR,KEN,monocl_Ab
incremental_cost_0to1y,own,913710.5,914259.5,1828.2,910318,915195.1,LBR,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2508.1,1879.7,2201.9,552.4,4948.6,LBR,KEN,monocl_Ab
net_cost/DALY_averted,own,529.4,400.5,428.8,126.3,1059,LBR,KEN,monocl_Ab
rsv_cases,mcmarcel,39522,39523,18.5,39491,39545,LBR,KEN,monocl_Ab
rsv_cases,own,40059.6,40063,85.8,39914,40165,LBR,KEN,monocl_Ab
rsv_deaths,mcmarcel,76.6,61,57.9,18,149,LBR,KEN,monocl_Ab
rsv_deaths,own,105.5,84,79.9,25,206,LBR,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,9.9,7,8.2,2,19,LBR,KEN,monocl_Ab
rsv_deaths_averted,own,44.9,35,35.6,10,89,LBR,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,2255,1764.5,1757,534,4355.4,LBR,KEN,monocl_Ab
total_DALY_0to1y,own,5500.5,4364.5,4214.7,1330.9,10791,LBR,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,639.5,487,527.7,141,1247.3,LBR,KEN,monocl_Ab
total_DALY_0to1y_averted,own,2898.1,2282.5,2277.8,680,5723.5,LBR,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,2089.4,1494,2060.6,317,4414.6,LBR,KEN,monocl_Ab
total_medical_cost_0to1y,own,4050.6,2890.5,3865.5,634,8464.1,LBR,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,521.1,363,531.6,74,1108,LBR,KEN,monocl_Ab
total_medical_cost_averted,own,1915.7,1367,1828.2,300,4003,LBR,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,261606.4,186731,245325,45015,543183.7,MDG,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,506226.4,368962,456551.8,91492.6,1065683.1,MDG,KEN,monocl_Ab
hosp_cases,mcmarcel,18839.2,15707,12479.6,5322.9,34791.7,MDG,KEN,monocl_Ab
hosp_cases,own,19004.7,15858,12588.6,5373.9,35114.9,MDG,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,1615.4,1295,1177.6,404,3101.6,MDG,KEN,monocl_Ab
hosp_cases_averted,own,5936.5,4953.5,3932.3,1679,10969.1,MDG,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,4508951.5,4542058,127388,4270875.6,4619829.5,MDG,KEN,monocl_Ab
incremental_cost_0to1y,own,4068900,4168822,415341.5,3319056.1,4456988.2,MDG,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2356.6,1760.5,2090.4,505.7,4669.6,MDG,KEN,monocl_Ab
net_cost/DALY_averted,own,453.2,340.1,378.4,97.5,913.8,MDG,KEN,monocl_Ab
rsv_cases,mcmarcel,214099.4,214101,69.1,213983,214185,MDG,KEN,monocl_Ab
rsv_cases,own,215982.3,215991.5,313.2,215454,216368,MDG,KEN,monocl_Ab
rsv_deaths,mcmarcel,414.8,331.5,313.3,98,808,MDG,KEN,monocl_Ab
rsv_deaths,own,567.8,453,429.8,136,1109,MDG,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,50.2,38,41.8,11,98,MDG,KEN,monocl_Ab
rsv_deaths_averted,own,228.2,179,180.8,52,453,MDG,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,12551.5,9819.5,9786.1,2966,24260.1,MDG,KEN,monocl_Ab
total_DALY_0to1y,own,30611.1,24303.5,23463.5,7402.1,60073.9,MDG,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,3375.8,2570.5,2788,745,6581.2,MDG,KEN,monocl_Ab
total_DALY_0to1y_averted,own,15296.6,12042,12026.6,3583,30228.9,MDG,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,699291.1,568100.5,508079.6,185168.9,1309944.8,MDG,KEN,monocl_Ab
total_medical_cost_0to1y,own,1352058.1,1128814,927950.8,368724.8,2483495,MDG,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,165116.2,132010,127388,41106.7,311918,MDG,KEN,monocl_Ab
total_medical_cost_averted,own,605167.7,505246,415341.5,165037.1,1111587.3,MDG,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,188757,134908.5,186403.3,31662.6,392564,MWI,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,367107.2,271333,344142,63527.6,769585,MWI,KEN,monocl_Ab
hosp_cases,mcmarcel,15431.8,12865,10222.5,4359.9,28494.7,MWI,KEN,monocl_Ab
hosp_cases,own,15730.2,13117,10419.2,4447.9,29040.2,MWI,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,1258.9,1009,917.1,315,2416.3,MWI,KEN,monocl_Ab
hosp_cases_averted,own,4647.8,3875.5,3078.6,1314,8580.1,MWI,KEN,monocl_Ab
