variable,source,meanvals,medianval,stdevvals,min_q,max_q,country,age_distrib
total_medical_cost_0to1y,mcmarcel,130659,116978.5,66239,52338.7,214143.3,ERI,ZAF
total_medical_cost_0to1y,own,298482.4,269680,142485.4,126609.6,480518.1,ERI,ZAF
total_medical_cost_averted,mcmarcel,22409.1,19605.5,12760.3,8037.2,37976.2,ERI,ZAF
total_medical_cost_averted,own,141056,127444.5,67335.4,59833.1,227082.1,ERI,ZAF
cost_rsv_hosp_0to1y,mcmarcel,1669700.1,1231620.5,1490533.5,301829.8,3410409.7,ETH,ZAF
cost_rsv_hosp_0to1y,own,3811324,2882415,3287794.4,710794.2,7694969.3,ETH,ZAF
hosp_cases,mcmarcel,73650.7,62080.5,47759.9,21380,134928.3,ETH,ZAF
hosp_cases,own,74749.9,63013.5,48468.6,21711,136667.7,ETH,ZAF
hosp_cases_averted,mcmarcel,4381.5,3522,3248.2,1089.9,8358.2,ETH,ZAF
hosp_cases_averted,own,27509.7,23190.5,17837.6,7990,50296.6,ETH,ZAF
incremental_cost_0to1y,mcmarcel,8557802.4,8665665,408122.9,7780020.5,8929996.4,ETH,ZAF
incremental_cost_0to1y,own,5583966.9,6100612.5,2245684.8,1372082.9,7779646.4,ETH,ZAF
net_cost/DALY_averted,mcmarcel,1609.3,1174.7,1426.2,325.4,3259.9,ETH,ZAF
net_cost/DALY_averted,own,138.5,96.7,146.3,10.4,300.9,ETH,ZAF
rsv_cases,mcmarcel,857290.4,857305,348.3,856698,857714,ETH,ZAF
rsv_cases,own,870095.5,870163,1570.7,867421.9,872011,ETH,ZAF
rsv_deaths,mcmarcel,1612.5,1281.5,1210.2,389,3113.2,ETH,ZAF
rsv_deaths,own,2457.2,1942,1889,589.9,4683.2,ETH,ZAF
rsv_deaths_averted,mcmarcel,142.4,108,123.1,29,284,ETH,ZAF
rsv_deaths_averted,own,1104,867,888,249,2137.1,ETH,ZAF
total_DALY_0to1y,mcmarcel,49138.5,38702.5,38255.1,11797.6,94311.2,ETH,ZAF
total_DALY_0to1y,own,147061.9,116232.5,113908.9,35478.2,280220,ETH,ZAF
total_DALY_0to1y_averted,mcmarcel,9556.6,7268.5,8192.2,2034.9,18992,ETH,ZAF
total_DALY_0to1y_averted,own,73819.2,58070,58911.8,17058.4,142375.2,ETH,ZAF
total_medical_cost_0to1y,mcmarcel,3451987.1,2895304.5,2301502.7,981116.2,6309405,ETH,ZAF
total_medical_cost_0to1y,own,7886741.5,6734592,5008002.8,2357146.5,14271466.9,ETH,ZAF
total_medical_cost_averted,mcmarcel,562731,454868.5,408122.9,147709.2,1058166.1,ETH,ZAF
total_medical_cost_averted,own,3536566.6,3019920.5,2245684.8,1056990,6399599.8,ETH,ZAF
cost_rsv_hosp_0to1y,mcmarcel,67076.9,48872,61417.3,11581.7,137261,GMB,ZAF
cost_rsv_hosp_0to1y,own,153608.7,114226,135984.6,27590.5,314782.8,GMB,ZAF
hosp_cases,mcmarcel,1809.2,1525,1173.2,525,3315,GMB,ZAF
hosp_cases,own,1848.7,1558.5,1198.7,537,3379.1,GMB,ZAF
hosp_cases_averted,mcmarcel,115.7,93,85.7,29,221,GMB,ZAF
hosp_cases_averted,own,727.5,613,471.7,211,1329.5,GMB,ZAF
incremental_cost_0to1y,mcmarcel,203579.5,210727.5,27346.3,153847.7,227739.2,GMB,ZAF
incremental_cost_0to1y,own,14296.4,50189,154298.9,-267981.8,158004.7,GMB,ZAF
net_cost/DALY_averted,mcmarcel,1581.7,1145.9,1450.6,297.9,3245.7,GMB,ZAF
net_cost/DALY_averted,own,27.4,27.6,206.6,-215.5,193.8,GMB,ZAF
rsv_cases,mcmarcel,21058.5,21059,4,21052,21063,GMB,ZAF
rsv_cases,own,21518.4,21520,48.6,21436,21578,GMB,ZAF
rsv_deaths,mcmarcel,39.7,31.5,29.8,10,77,GMB,ZAF
rsv_deaths,own,60.9,48,46.8,15,116,GMB,ZAF
rsv_deaths_averted,mcmarcel,3.8,3,3.3,1,7.1,GMB,ZAF
rsv_deaths_averted,own,29.2,23,23.5,7,57,GMB,ZAF
total_DALY_0to1y,mcmarcel,1127.3,888,876.7,271,2162.1,GMB,ZAF
total_DALY_0to1y,own,3374.5,2667,2611.8,816,6427.4,GMB,ZAF
total_DALY_0to1y_averted,mcmarcel,233.6,178,200,50,464,GMB,ZAF
total_DALY_0to1y_averted,own,1804.4,1419.5,1439,418,3478.1,GMB,ZAF
total_medical_cost_0to1y,mcmarcel,204947.2,170364.5,145967,54878.4,371936.9,GMB,ZAF
total_medical_cost_0to1y,own,470147.1,395140.5,322447.1,131006.2,860091.9,GMB,ZAF
total_medical_cost_averted,mcmarcel,35693.9,28545.5,27346.3,8667,66688.7,GMB,ZAF
total_medical_cost_averted,own,224977,189084.5,154298.9,62690.1,411575.6,GMB,ZAF
cost_rsv_hosp_0to1y,mcmarcel,674137.1,495303.5,619459.4,109707.4,1388024.9,GHA,ZAF
cost_rsv_hosp_0to1y,own,1540152.2,1151066.5,1372962.8,258245.8,3116494,GHA,ZAF
hosp_cases,mcmarcel,17846.7,15042,11573.1,5180.9,32703.3,GHA,ZAF
hosp_cases,own,18176.1,15323,11785.5,5278.9,33228.2,GHA,ZAF
hosp_cases_averted,mcmarcel,1089.9,876,807.9,270.9,2079.3,GHA,ZAF
hosp_cases_averted,own,6848.4,5773.5,4440.5,1989,12519.8,GHA,ZAF
incremental_cost_0to1y,mcmarcel,2219589.5,2271848,196178.4,1839621.7,2398961.5,GHA,ZAF
incremental_cost_0to1y,own,842847.5,1128615.5,1109373.7,-1365010.9,1898869.7,GHA,ZAF
net_cost/DALY_averted,mcmarcel,1778.2,1292.1,1603.7,346.1,3596.3,GHA,ZAF
net_cost/DALY_averted,own,101.6,70,166.7,-71,280,GHA,ZAF
rsv_cases,mcmarcel,207734.9,207737,51.1,207648,207797,GHA,ZAF
rsv_cases,own,211571.6,211589,416.3,210863,212080,GHA,ZAF
rsv_deaths,mcmarcel,390.9,310.5,293.4,94,755,GHA,ZAF
rsv_deaths,own,598,473,459.8,143,1140,GHA,ZAF
rsv_deaths_averted,mcmarcel,35.4,27,30.6,7,71,GHA,ZAF
rsv_deaths_averted,own,274.9,216,221.1,62,532,GHA,ZAF
total_DALY_0to1y,mcmarcel,11384.5,8968.5,8857.7,2736.8,21845,GHA,ZAF
total_DALY_0to1y,own,34074.6,26933.5,26381.2,8230.6,64913.6,GHA,ZAF
total_DALY_0to1y_averted,mcmarcel,2262.5,1721,1938.4,482.9,4495,GHA,ZAF
total_DALY_0to1y_averted,own,17476.3,13748.5,13941.3,4043.9,33702.2,GHA,ZAF
total_medical_cost_0to1y,mcmarcel,1561143.1,1279486,1102997.3,386779.5,2948369.9,GHA,ZAF
total_medical_cost_0to1y,own,3569225.3,2946113.5,2418968.1,934591.5,6569767.6,GHA,ZAF
total_medical_cost_averted,mcmarcel,260156.3,207898,196178.4,59589.2,500326,GHA,ZAF
total_medical_cost_averted,own,1636898.2,1351130.5,1109373.7,428617,3012990.3,GHA,ZAF
cost_rsv_hosp_0to1y,mcmarcel,350109.4,235463,375751.2,49029.8,760845.1,GIN,ZAF
cost_rsv_hosp_0to1y,own,804491.9,543670,843379.3,119294.6,1732549.6,GIN,ZAF
hosp_cases,mcmarcel,10152.2,8558,6583.3,2947,18593.4,GIN,ZAF
hosp_cases,own,10371.9,8736.5,6724.9,3014,18955.7,GIN,ZAF
hosp_cases_averted,mcmarcel,569.5,458,421.9,142,1086.1,GIN,ZAF
hosp_cases_averted,own,3581.1,3016.5,2321.9,1041,6544.4,GIN,ZAF
incremental_cost_0to1y,mcmarcel,1092610.1,1111187.5,60738.7,987184.1,1136904.4,GIN,ZAF
incremental_cost_0to1y,own,775646.2,884031.5,353916,148819.6,1046118.6,GIN,ZAF
net_cost/DALY_averted,mcmarcel,1681.7,1237.4,1494,337.9,3413.3,GIN,ZAF
net_cost/DALY_averted,own,164.1,116.7,171.1,9.3,352.4,GIN,ZAF
rsv_cases,mcmarcel,118171.2,118174,72,118049,118259,GIN,ZAF
rsv_cases,own,120730.5,120743,323.6,120181,121126,GIN,ZAF
rsv_deaths,mcmarcel,222.5,177,167,54,430,GIN,ZAF
rsv_deaths,own,341.4,270,262.5,82,651,GIN,ZAF
rsv_deaths_averted,mcmarcel,18.5,14,16,4,37,GIN,ZAF
rsv_deaths_averted,own,143.8,113,115.6,32,278,GIN,ZAF
total_DALY_0to1y,mcmarcel,6442.6,5076,5010.3,1550.8,12353.7,GIN,ZAF
total_DALY_0to1y,own,19285.5,15243.5,14928.6,4657.9,36734.2,GIN,ZAF
total_DALY_0to1y_averted,mcmarcel,1171.3,891,1002.9,250,2324.3,GIN,ZAF
total_DALY_0to1y_averted,own,9049.4,7120,7217.7,2095.9,17446.1,GIN,ZAF
total_medical_cost_0to1y,mcmarcel,390239,274174,376471.4,83519.8,799556.9,GIN,ZAF
total_medical_cost_0to1y,own,896680.5,638546.5,842900.8,197663.9,1823516.2,GIN,ZAF
total_medical_cost_averted,mcmarcel,59533,40956.5,60738.7,11639.6,123072.8,GIN,ZAF
total_medical_cost_averted,own,376496.9,268112,353916,82994.4,765655.7,GIN,ZAF
cost_rsv_hosp_0to1y,mcmarcel,38655.7,28690,34071.6,7018.8,78432.4,GNB,ZAF
cost_rsv_hosp_0to1y,own,89148.3,66705,76395.6,16676.1,181045.5,GNB,ZAF
hosp_cases,mcmarcel,1364.6,1150,884.9,396,2499.2,GNB,ZAF
hosp_cases,own,1411.7,1188.5,915.3,410,2579.5,GNB,ZAF
hosp_cases_averted,mcmarcel,75.1,60,55.6,19,143,GNB,ZAF
hosp_cases_averted,own,473.6,399,307,138,865.2,GNB,ZAF
incremental_cost_0to1y,mcmarcel,142804.9,146302,13370.2,118821.6,154382.1,GNB,ZAF
incremental_cost_0to1y,own,54922.1,73366,74238.5,-81469.9,123724.9,GNB,ZAF
net_cost/DALY_averted,mcmarcel,1748.6,1281.4,1566.4,347.3,3555,GNB,ZAF
net_cost/DALY_averted,own,95,68.4,173.7,-89.2,269.2,GNB,ZAF
rsv_cases,mcmarcel,15884.5,15885,8.4,15870,15895,GNB,ZAF
rsv_cases,own,16432.8,16435,64.4,16324,16511.1,GNB,ZAF
rsv_deaths,mcmarcel,30,24,22.5,7,58,GNB,ZAF
rsv_deaths,own,46.6,37,35.9,11,89,GNB,ZAF
rsv_deaths_averted,mcmarcel,2.4,2,2.1,1,5,GNB,ZAF
rsv_deaths_averted,own,19,15,15.3,4,37,GNB,ZAF
total_DALY_0to1y,mcmarcel,838.6,661,651.4,203,1606,GNB,ZAF
total_DALY_0to1y,own,2510.9,1985.5,1942.4,607,4791.3,GNB,ZAF
total_DALY_0to1y_averted,mcmarcel,147.1,112,125.8,31,291.1,GNB,ZAF
total_DALY_0to1y_averted,own,1137.1,895,906.4,264,2192.1,GNB,ZAF
total_medical_cost_0to1y,mcmarcel,111544.4,90530,82859.1,27486.2,209420.2,GNB,ZAF
total_medical_cost_0to1y,own,257019.7,211641.5,182646.3,66711.8,474090.8,GNB,ZAF
total_medical_cost_averted,mcmarcel,16585.5,13088.5,13370.2,3733.8,31833.3,GNB,ZAF
total_medical_cost_averted,own,104468.2,86024,74238.5,27115.3,192698.6,GNB,ZAF
cost_rsv_hosp_0to1y,mcmarcel,2092185,1687055.5,1525220.1,532023.8,3977323.7,KEN,ZAF
cost_rsv_hosp_0to1y,own,4783735.1,3911795,3347604,1282726.4,8934030.3,KEN,ZAF
hosp_cases,mcmarcel,32462.8,27362,21051.3,9422.9,59491.1,KEN,ZAF
hosp_cases,own,32965,27791.5,21375.2,9574,60285.5,KEN,ZAF
hosp_cases_averted,mcmarcel,1806.8,1452,1339.7,449.9,3446.4,KEN,ZAF
hosp_cases_averted,own,11346.7,9566,7357.4,3295,20750.4,KEN,ZAF
incremental_cost_0to1y,mcmarcel,3262093.4,3400607,532819.2,2288510.1,3754565.3,KEN,ZAF
incremental_cost_0to1y,own,-766263.4,-100949.5,2959584.4,-6183492.3,2097062.1,KEN,ZAF
net_cost/DALY_averted,mcmarcel,1521.6,1096.3,1431.6,254.1,3169.8,KEN,ZAF
net_cost/DALY_averted,own,-12.3,-3,216.8,-274,149,KEN,ZAF
rsv_cases,mcmarcel,377864.1,377867,69.6,377746,377949,KEN,ZAF
rsv_cases,own,383714.4,383744,598.3,382694.9,384441,KEN,ZAF
rsv_deaths,mcmarcel,710.7,564.5,533.4,171,1372.1,KEN,ZAF
rsv_deaths,own,1083.9,857,833.3,260,2066.1,KEN,ZAF
rsv_deaths_averted,mcmarcel,58.7,44,50.8,12,117,KEN,ZAF
rsv_deaths_averted,own,455.4,357.5,366.3,103,882,KEN,ZAF
total_DALY_0to1y,mcmarcel,21813.4,17184,16985.6,5233.5,41867.6,KEN,ZAF
total_DALY_0to1y,own,65279.7,51595,50567.7,15749,124392.2,KEN,ZAF
total_DALY_0to1y_averted,mcmarcel,3965.7,3016,3400.3,844,7880.5,KEN,ZAF
total_DALY_0to1y_averted,own,30630.7,24097.5,24446.9,7075.8,59098.1,KEN,ZAF
total_medical_cost_0to1y,mcmarcel,4995481.8,4220313.5,3244364.8,1535891.9,8798727.2,KEN,ZAF
total_medical_cost_0to1y,own,11421835.1,9835182.5,7058071.7,3742120.2,19939809.2,KEN,ZAF
total_medical_cost_averted,mcmarcel,761037.1,622523,532819.2,212007.8,1383967.6,KEN,ZAF
total_medical_cost_averted,own,4789393.9,4124080,2959584.4,1569142.2,8361143.4,KEN,ZAF
cost_rsv_hosp_0to1y,mcmarcel,55349.6,40312.5,51654,9813.7,114435.1,LSO,ZAF
cost_rsv_hosp_0to1y,own,126664.3,93730,113761.6,23957.9,259130,LSO,ZAF
hosp_cases,mcmarcel,1358,1145,880.6,394,2488.1,LSO,ZAF
hosp_cases,own,1385.3,1167.5,898.2,402,2531.8,LSO,ZAF
hosp_cases_averted,mcmarcel,60.1,48,44.6,15,115,LSO,ZAF
hosp_cases_averted,own,378.1,319,245.2,110,691.2,LSO,ZAF
incremental_cost_0to1y,mcmarcel,103248.4,107602,16199,73288.3,117572.1,LSO,ZAF
incremental_cost_0to1y,own,-7443.5,15736,92697.3,-179925.2,78088.9,LSO,ZAF
net_cost/DALY_averted,mcmarcel,1734.8,1262,1596.2,311,3601,LSO,ZAF
net_cost/DALY_averted,own,10.1,18.7,225.1,-291.8,196.7,LSO,ZAF
rsv_cases,mcmarcel,15806.6,15807,6.7,15795,15815,LSO,ZAF
rsv_cases,own,16124.7,16127,34.7,16065,16167,LSO,ZAF
rsv_deaths,mcmarcel,29.7,24,22.3,7,57,LSO,ZAF
rsv_deaths,own,45.6,36,35.1,11,87,LSO,ZAF
rsv_deaths_averted,mcmarcel,2,1,1.7,0,4,LSO,ZAF
rsv_deaths_averted,own,15.2,12,12.2,3,29,LSO,ZAF
total_DALY_0to1y,mcmarcel,755.3,595.5,586.7,182,1448,LSO,ZAF
total_DALY_0to1y,own,2261.4,1788,1748.5,549,4305.7,LSO,ZAF
total_DALY_0to1y_averted,mcmarcel,108.6,83,92.9,23,216,LSO,ZAF
total_DALY_0to1y_averted,own,839.1,660.5,668.5,195,1617,LSO,ZAF
total_medical_cost_0to1y,mcmarcel,172493.1,138392.5,125422,44782.6,321626.2,LSO,ZAF
total_medical_cost_0to1y,own,396125.3,326315.5,279179.6,107337.4,728076.8,LSO,ZAF
total_medical_cost_averted,mcmarcel,20835.6,16481.5,16199,4918.5,40082.2,LSO,ZAF
total_medical_cost_averted,own,131527.4,108348,92697.3,35639.5,241747.2,LSO,ZAF
cost_rsv_hosp_0to1y,mcmarcel,455.7,326,443.7,75,948.1,LBR,ZAF
cost_rsv_hosp_0to1y,own,1039.9,757,976.9,178,2157,LBR,ZAF
hosp_cases,mcmarcel,3395.4,2862,2201.8,986,6219.4,LBR,ZAF
hosp_cases,own,3458.2,2915,2242.3,1005,6321.1,LBR,ZAF
hosp_cases_averted,mcmarcel,214,172,158.6,53,408.1,LBR,ZAF
hosp_cases_averted,own,1344.9,1133.5,872,390.9,2458.7,LBR,ZAF
incremental_cost_0to1y,mcmarcel,467468.8,467582,363.6,466792.8,467752,LBR,ZAF
incremental_cost_0to1y,own,465578.8,466209,2149.5,461582,467307,LBR,ZAF
net_cost/DALY_averted,mcmarcel,1836.7,1363.3,1590,398,3680.8,LBR,ZAF
net_cost/DALY_averted,own,225.4,169.8,190,52.9,438.3,LBR,ZAF
rsv_cases,mcmarcel,39521.9,39523,18.4,39491,39544,LBR,ZAF
rsv_cases,own,40254.2,40258,85.5,40108,40358,LBR,ZAF
rsv_deaths,mcmarcel,74.4,59,55.8,18,144,LBR,ZAF
rsv_deaths,own,113.8,90,87.5,27,217,LBR,ZAF
rsv_deaths_averted,mcmarcel,7,5,6,1,14,LBR,ZAF
rsv_deaths_averted,own,54,42,43.4,12,105,LBR,ZAF
total_DALY_0to1y,mcmarcel,2199.3,1733,1711.3,528.9,4220.1,LBR,ZAF
total_DALY_0to1y,own,6582.8,5203,5097.1,1589.9,12540.5,LBR,ZAF
total_DALY_0to1y_averted,mcmarcel,451,343,386.4,96,896,LBR,ZAF
total_DALY_0to1y_averted,own,3483.9,2741,2779.5,805.9,6718.1,LBR,ZAF
total_medical_cost_0to1y,mcmarcel,2068.6,1467.5,2021.8,336,4335.3,LBR,ZAF
total_medical_cost_0to1y,own,4744.4,3413,4541.2,803,10015,LBR,ZAF
total_medical_cost_averted,mcmarcel,355.8,243,363.6,52,754,LBR,ZAF
total_medical_cost_averted,own,2245.7,1615.5,2149.5,380,4741,LBR,ZAF
cost_rsv_hosp_0to1y,mcmarcel,255215.6,184592.5,237396,43947.1,525443,MDG,ZAF
cost_rsv_hosp_0to1y,own,582042.2,429466.5,522227.5,102299.9,1187983.9,MDG,ZAF
hosp_cases,mcmarcel,18393.5,15503.5,11927.6,5339.9,33701.7,MDG,ZAF
hosp_cases,own,18613.3,15694.5,12069.3,5406,34046.9,MDG,ZAF
hosp_cases_averted,mcmarcel,1090,876,808.3,270.9,2079.3,MDG,ZAF
hosp_cases_averted,own,6838.7,5766,4434.4,1986,12508.9,MDG,ZAF
incremental_cost_0to1y,mcmarcel,2267798.8,2290785.5,85656.8,2108335.7,2344941.8,MDG,ZAF
incremental_cost_0to1y,own,1672090.4,1797516.5,489075.6,802748.8,2126686.7,MDG,ZAF
net_cost/DALY_averted,mcmarcel,1703.7,1256.1,1500.6,356.3,3416.7,MDG,ZAF
net_cost/DALY_averted,own,159.9,116.5,155.6,23.6,329.1,MDG,ZAF
rsv_cases,mcmarcel,214098.9,214102,68.6,213982,214183,MDG,ZAF
rsv_cases,own,216659.9,216673.5,311.7,216129,217040,MDG,ZAF
rsv_deaths,mcmarcel,402.5,320,302.1,97,777.1,MDG,ZAF
rsv_deaths,own,611.4,483,470,147,1165.1,MDG,ZAF
rsv_deaths_averted,mcmarcel,35.4,27,30.6,7,71,MDG,ZAF
rsv_deaths_averted,own,274.4,215,220.7,62,532,MDG,ZAF
total_DALY_0to1y,mcmarcel,12241.6,9645.5,9532.1,2936.8,23494.4,MDG,ZAF
total_DALY_0to1y,own,36634.3,28955.5,28377.3,8839.4,69809.1,MDG,ZAF
total_DALY_0to1y_averted,mcmarcel,2380.8,1811,2041.5,506.9,4731.3,MDG,ZAF
total_DALY_0to1y_averted,own,18389,14467,14676.4,4247.8,35484.3,MDG,ZAF
total_medical_cost_0to1y,mcmarcel,692401.8,568504,493677.7,181175.7,1287009.1,MDG,ZAF
total_medical_cost_0to1y,own,1580736.5,1300805,1091538.6,426828.3,2897003.9,MDG,ZAF
total_medical_cost_averted,mcmarcel,112557.5,89571,85656.8,27126.7,216407.2,MDG,ZAF
total_medical_cost_averted,own,708265.9,582839.5,489075.6,191245,1298033.3,MDG,ZAF
cost_rsv_hosp_0to1y,mcmarcel,179879,131953,158055.2,34696.8,373748.2,MWI,ZAF
cost_rsv_hosp_0to1y,own,413740.1,311477,353117.6,80356.8,848042,MWI,ZAF
hosp_cases,mcmarcel,15066.7,12699,9770.3,4373.9,27608.3,MWI,ZAF
hosp_cases,own,15464.9,13031,10027.2,4492.9,28263.7,MWI,ZAF
hosp_cases_averted,mcmarcel,850.8,684,630.4,212,1623.1,MWI,ZAF
hosp_cases_averted,own,5358.1,4514.5,3474.2,1556.9,9792.4,MWI,ZAF
incremental_cost_0to1y,mcmarcel,1637194,1660689,89014.8,1477633.4,1712529,MWI,ZAF
incremental_cost_0to1y,own,1076548,1206270.5,512830.4,125748.1,1529086.7,MWI,ZAF
net_cost/DALY_averted,mcmarcel,1631,1195.3,1439,341.9,3300.1,MWI,ZAF
net_cost/DALY_averted,own,136.5,99.8,148.8,8.3,300,MWI,ZAF
rsv_cases,mcmarcel,175375.2,175377,44.4,175300,175429,MWI,ZAF
rsv_cases,own,180013.4,180039,447.1,179247.9,180556,MWI,ZAF
rsv_deaths,mcmarcel,330.3,262.5,247.9,80,638,MWI,ZAF
rsv_deaths,own,509.8,403,392.1,122,972.1,MWI,ZAF
rsv_deaths_averted,mcmarcel,27.7,21,23.9,6,55,MWI,ZAF
rsv_deaths_averted,own,215.2,169,173.1,49,416.1,MWI,ZAF
total_DALY_0to1y,mcmarcel,9871.7,7777,7680.4,2373.7,18932.3,MWI,ZAF
total_DALY_0to1y,own,29546.5,23352.5,22877.2,7133.9,56283.4,MWI,ZAF
total_DALY_0to1y_averted,mcmarcel,1794.7,1365,1537.2,382.9,3561.6,MWI,ZAF
total_DALY_0to1y_averted,own,13863.8,10906.5,11059.9,3207.9,26722.4,MWI,ZAF
total_medical_cost_0to1y,mcmarcel,688490.1,546668.5,548964.9,155362.5,1312449.7,MWI,ZAF
total_medical_cost_0to1y,own,1583498.8,1275168,1218922.2,377607.9,3009643.3,MWI,ZAF
total_medical_cost_averted,mcmarcel,105570.7,82076,89014.8,21951.7,206844,MWI,ZAF
total_medical_cost_averted,own,666216.7,536494.5,512830.4,158868.7,1266230.5,MWI,ZAF
cost_rsv_hosp_0to1y,mcmarcel,442722.8,331739.5,389881.2,77989.2,905758.8,MLI,ZAF
cost_rsv_hosp_0to1y,own,1019343.3,771086.5,872203.5,189597.4,2071826.5,MLI,ZAF
hosp_cases,mcmarcel,16334.2,13769,10592.1,4742,29917.1,MLI,ZAF
hosp_cases,own,16835.2,14173,10915,4893.9,30760.5,MLI,ZAF
hosp_cases_averted,mcmarcel,991.7,797.5,734.2,247,1892,MLI,ZAF
hosp_cases_averted,own,6248.2,5260,4051,1816,11416.2,MLI,ZAF
incremental_cost_0to1y,mcmarcel,1937339.5,1964924,114063.8,1719695.8,2042586,MLI,ZAF
incremental_cost_0to1y,own,1113617.1,1264902.5,635341.7,-66335.8,1734792.7,MLI,ZAF
net_cost/DALY_averted,mcmarcel,1769.4,1307.9,1572.2,359.7,3579.3,MLI,ZAF
net_cost/DALY_averted,own,137.6,97.3,157.8,-3.2,310.2,MLI,ZAF
rsv_cases,mcmarcel,190130,190134,110.3,189943,190265,MLI,ZAF
rsv_cases,own,195966.4,195995,694.9,194789,196815,MLI,ZAF
rsv_deaths,mcmarcel,358.4,285,268.9,86,692,MLI,ZAF
rsv_deaths,own,555.3,439,427.1,133,1059,MLI,ZAF
rsv_deaths_averted,mcmarcel,32.2,24,27.8,7,64,MLI,ZAF
rsv_deaths_averted,own,250.9,197,201.8,57,486,MLI,ZAF
total_DALY_0to1y,mcmarcel,10119.3,7976.5,7863.3,2442.5,19386.1,MLI,ZAF
total_DALY_0to1y,own,30296.1,23955,23441.5,7324,57771.1,MLI,ZAF
total_DALY_0to1y_averted,mcmarcel,1968.2,1496.5,1683.6,421,3899,MLI,ZAF
total_DALY_0to1y_averted,own,15207.7,11971.5,12124.2,3526.9,29323.7,MLI,ZAF
total_medical_cost_0to1y,mcmarcel,946575.3,791102.5,642710.5,256033.4,1733773.6,MLI,ZAF
total_medical_cost_0to1y,own,2175567.9,1839511.5,1411315,624797.4,3949115.3,MLI,ZAF
total_medical_cost_averted,mcmarcel,155668.6,128084,114063.8,38664.7,293611.7,MLI,ZAF
total_medical_cost_averted,own,979391,828106,635341.8,281269.8,1777801.5,MLI,ZAF
cost_rsv_hosp_0to1y,mcmarcel,134372.9,98378,125988,24024.6,275548,MRT,ZAF
cost_rsv_hosp_0to1y,own,309158.9,231201,276570.1,58389.7,616373,MRT,ZAF
hosp_cases,mcmarcel,3057.5,2577,1982.7,888,5603,MRT,ZAF
hosp_cases,own,3150.1,2652.5,2042.4,915,5757,MRT,ZAF
hosp_cases_averted,mcmarcel,199.7,161,147.9,50,381,MRT,ZAF
hosp_cases_averted,own,1258.6,1060,816.1,366,2299.9,MRT,ZAF
incremental_cost_0to1y,mcmarcel,380144.4,391191,41592,301931.7,416636.5,MRT,ZAF
incremental_cost_0to1y,own,90860.2,145680,231120,-331456.2,307115.7,MRT,ZAF
net_cost/DALY_averted,mcmarcel,1663.5,1206.7,1509.2,312.2,3381.7,MRT,ZAF
net_cost/DALY_averted,own,69.3,48.9,167.9,-110.6,233.5,MRT,ZAF
rsv_cases,mcmarcel,35589.6,35590,7.3,35577,35599,MRT,ZAF
rsv_cases,own,36667.7,36673,106.5,36486,36797,MRT,ZAF
rsv_deaths,mcmarcel,67.1,53,50.3,16,129.1,MRT,ZAF
rsv_deaths,own,103.9,82,79.9,25,198,MRT,ZAF
rsv_deaths_averted,mcmarcel,6.5,5,5.6,1,13,MRT,ZAF
rsv_deaths_averted,own,50.6,40,40.7,11,98,MRT,ZAF
total_DALY_0to1y,mcmarcel,1986.1,1565,1544.6,477.9,3807.3,MRT,ZAF
total_DALY_0to1y,own,5944.8,4698.5,4602.1,1435.9,11323,MRT,ZAF
total_DALY_0to1y_averted,mcmarcel,415.7,316,355.9,89,824.2,MRT,ZAF
total_DALY_0to1y_averted,own,3211,2526.5,2561.2,744,6189.2,MRT,ZAF
total_medical_cost_0to1y,mcmarcel,308047.8,253137.5,216901.8,87078.8,567898.9,MRT,ZAF
total_medical_cost_0to1y,own,709454.1,596346,476863,208836.8,1281080.1,MRT,ZAF
total_medical_cost_averted,mcmarcel,54565.2,43518.5,41592,13923.8,102649.9,MRT,ZAF
total_medical_cost_averted,own,343849.3,289029.5,231120,101216.3,620898.1,MRT,ZAF
cost_rsv_hosp_0to1y,mcmarcel,388098.6,287335,343265.2,72917.1,796000.2,MOZ,ZAF
cost_rsv_hosp_0to1y,own,893606.4,673272,767261.8,173715.5,1822991.2,MOZ,ZAF
hosp_cases,mcmarcel,24733.6,20848,16038.9,7180,45312.7,MOZ,ZAF
hosp_cases,own,25480.6,21450,16520.5,7405.9,46561.1,MOZ,ZAF
hosp_cases_averted,mcmarcel,1615.2,1299,1196.2,402,3082,MOZ,ZAF
hosp_cases_averted,own,10177.2,8567.5,6598.5,2957.9,18597,MOZ,ZAF
incremental_cost_0to1y,mcmarcel,3121028.7,3164542.5,165962.3,2821540.3,3264406.4,MOZ,ZAF
incremental_cost_0to1y,own,2013657.1,2238487.5,937310,279151.2,2870253.6,MOZ,ZAF
net_cost/DALY_averted,mcmarcel,1743.5,1283,1537.5,360.5,3528.1,MOZ,ZAF
net_cost/DALY_averted,own,145.7,105,156.9,9,315.1,MOZ,ZAF
rsv_cases,mcmarcel,287898.1,287903,115,287703,288039,MOZ,ZAF
rsv_cases,own,296599.2,296638.5,950.5,294984.8,297758,MOZ,ZAF
rsv_deaths,mcmarcel,542.6,431,407.2,131,1048,MOZ,ZAF
rsv_deaths,own,840.4,664.5,646.5,201,1603,MOZ,ZAF
rsv_deaths_averted,mcmarcel,52.5,40,45.3,11,104.1,MOZ,ZAF
rsv_deaths_averted,own,408.7,321,328.8,92,791,MOZ,ZAF
total_DALY_0to1y,mcmarcel,15300.1,12057,11891.1,3690.4,29317.3,MOZ,ZAF
